Key,Recruitment,PlayerSport,RecruitState,Institution,LockPrediction,RecruitsInterest,PrimaryCoach,SecondaryCoach,KeeperCoach,InstitutionsInterest,Position,PositionGroup,Platoon,Offered,GrayShirt,WalkOn,OfficialVisit,SecondOfficialVisit,SoftCommit,HardCommit,SigningDate,EnrollmentDate,Decommit,HighestRecruitInterestEvent,CommitStatus,DefaultName
735276,145416,272707,44,24099,False,Cool,,,,ScoutLook,14,3,1,True,False,False,,,,,,,,,Cool,Jeremiah Smith via Florida
733053,140776,263711,3,24099,False,Cool,,,,HighChoice,14,3,1,True,False,False,,,,,,,,,Cool,KJ Bolden via Florida
741519,145022,272126,44,24099,False,Cool,,,,ScoutLook,59,6,2,True,False,False,,,,,,,,,Cool,TJ Capers via Florida
735306,145470,283660,44,24099,False,Cool,418.0,,,ScoutLook,14,3,1,True,False,False,,,,,,,,,Cool,Joshisa Trader via Florida
794546,144713,271652,3,24099,False,Cool,,,,HighChoice,59,6,2,True,False,False,,,,,,,,,Cool,Sammy Brown via Florida
744201,143783,287683,44,24099,False,Cool,1973.0,,,HighChoice,12,2,1,True,False,False,,,,,,,351411.0,351411.0,Cool,Jerrick Gibson via Florida
737169,139610,261653,37,24099,False,Cool,274.0,,,HighChoice,14,3,1,True,False,False,,,,,,,,,Cool,Ryan Wingo via Florida
781457,143781,270092,44,24099,False,Cool,,,,ScoutLook,24,7,2,True,False,False,,,,,,,,,Cool,Ellis Robinson IV via Florida
798764,145313,272580,9,24099,False,Cool,3755.0,,,HighChoice,60,5,2,True,False,False,,,,,,,,,Cool,Colin Simmons via Florida
810321,144715,271654,44,24099,False,Cool,1057.0,,,Interested,61,5,2,True,False,False,,,,,,,,,Cool,David Stone via Florida
738584,140246,262650,24,24099,False,None,274.0,,,NotApplicable,57,1,1,True,False,False,,,,,,,,,None,Julian Sayin via Florida
803818,144680,271590,3,24099,False,Cool,,,,ScoutLook,60,5,2,True,False,False,,,,,,,,,Cool,Eddrick Houston via Florida
785932,146412,273879,42,24099,False,Cool,,,,ScoutLook,60,5,2,True,False,False,,,,,,,,,Cool,Elijah Rushing via Florida
778417,143756,270061,44,24099,False,Cool,,,,TopTarget,24,7,2,True,False,False,,,,,,,,,Cool,Charles Lester III via Florida
756288,145415,272706,3,24099,False,None,4546.0,,,NotApplicable,15,3,1,True,False,False,,,,,,,,,None,Landen Thomas via Florida
743282,143872,293869,24,24099,False,Cool,,,,ScoutLook,61,5,2,True,False,False,,,,,,,,,Cool,T.A. Cunningham via Florida
778788,143741,270042,9,24099,False,Cool,,,,ScoutLook,57,1,1,True,False,False,,,,,,,,,Cool,DJ Lagway via Florida
803330,144960,272028,3,24099,False,None,,,,ScoutLook,26,8,3,True,False,False,,,,,,,,,None,Kameron Davis via Florida
754584,150587,281868,44,24099,False,None,,,,NotApplicable,60,5,2,True,False,False,,,,,,,,,None,Jonathan Echols via Florida
815087,140364,262855,24,24099,False,Cool,,,,Interested,25,7,2,True,False,False,,,,,,,,,Cool,Peyton Woodyard via Florida
